gene	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf
ENSG00000188659_ILMN_4387	569	0.932438168676246	0.0144378858708667	0.0509572210548996	0.000787643254709443	0.00137908114327871
ENSG00000047578_KIAA0556	973	0.830337420103949	0.07567339003179	0.0795700375138589	0.00724449718069263	0.00717465516970973
ENSG00000063854_HAGH	757	0.597605896754123	0.0191601443722355	0.359971716579	0.011529502205946	0.0117327400886948
ENSG00000070761_C16orf80	992	0.799415448790722	0.0917068173938571	0.0901986357679602	0.0103390078777238	0.00834009016973732
ENSG00000086504_MRPL28	551	0.890361964233795	0.0186335176787299	0.0859699704766885	0.00179594310930387	0.00323860450148293
ENSG00000090857_ILMN_138245	477	0.508079963044902	0.41083679962978	0.0244363345218582	0.0197224563594385	0.0369244464440214
ENSG00000090857_ILMN_8209	477	0.503122783555034	0.406828391692174	0.0303630063142934	0.0245165573343426	0.0351692611041552
ENSG00000103042_ILMN_16502	945	0.745603832268582	0.0853878180962423	0.142275775665027	0.0162832142807235	0.0104493596894247
ENSG00000103111_MON1B	1564	0.294346140740928	0.0183186388651449	0.619213167870481	0.0385071308777342	0.0296149216457117
ENSG00000103126_AXIN1	518	0.896144836345531	0.0178651976194854	0.0819346368911472	0.00163099296487965	0.00242433617895642
ENSG00000103174_NAGPA	1198	0.796785660481299	0.0268339490509365	0.162412013689754	0.00546116413909993	0.00850721263891036
ENSG00000103202_DECR2	559	0.823054571759303	0.0173766421557347	0.152255841084717	0.00321038084609444	0.00410256415415079
ENSG00000103248_MTHFSD	1648	8.67772503132169e-07	0.782054873906988	1.5272378314129e-07	0.137557506438538	0.0803865991581873
ENSG00000103275_UBE2I	878	0.799224619728785	0.0279002994577627	0.163016017291952	0.00568658777686207	0.00417247574463874
ENSG00000103540_ILMN_12815	813	0.552656187279156	0.15570993965545	0.213766922763015	0.0602108103278173	0.0176561399745619
ENSG00000118894_FAM86B1	1249	0.768118560990652	0.0282677021212585	0.191504886367812	0.0070425476431119	0.00506630287716547
ENSG00000125124_BBS2	1057	0.000273186077959468	3.2165945414898e-05	0.805296154029693	0.09471888628276	0.0996796076641714
ENSG00000125170_DOK4	1078	0.762555985509191	0.0885363451949071	0.124781372560914	0.0144780574306871	0.00964823930430062
ENSG00000127561_SYNGR3	775	0.370003599422907	0.0212688889761257	0.559221649545977	0.0321283183246079	0.0173775437303827
ENSG00000127586_CHTF18	741	0.859025087779504	0.0219101920141645	0.113411649060528	0.00288990090081533	0.0027631702449875
ENSG00000129925_TMEM8	552	0.486584829906229	0.0101948277377065	0.477913289802813	0.00999783415073872	0.0153092184025133
ENSG00000130731_C16orf13	675	0.897731526864038	0.0218743005788152	0.0761453520598315	0.00185297657956707	0.00239584391774816
ENSG00000131148_COX4NB	1662	8.80602476316135e-07	0.793617513372402	1.52017002497616e-07	0.136931476953309	0.0694499770548105
